peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M229T65_NEG,229.02306462117087,229.02300869914671,229.02314919863045,65.32705,64.5439,65.3803,4,4,10309614.529668735,10379637.672444992,10709422.776080016,10165860.31045812
M229T71_NEG,229.04783804472487,229.0477903407394,229.0482661145893,70.9496,70.9243,71.6406,4,4,885794.2185249991,814985.8290328135,1018687.5138006246,1105140.265783124
M229T97_NEG,229.05760719244915,229.05757270074136,229.05771401931318,97.00569999999999,96.2157,97.7052,4,4,2859576.6144068893,3250591.0386710186,3792700.255084836,3533790.0336269517
M229T214_NEG,229.0690522123275,229.06897059265665,229.06915254488854,213.6515,213.208,214.073,4,4,1019552.5299380831,944060.285098527,1121690.6614265626,1035478.0068880173
M229T489_NEG,229.07174849990787,229.0716383601993,229.07185863961644,489.096,488.922,489.27,2,2,124230.10759326135,NA,131603.09694375077,NA
M229T68_NEG,229.08648468963298,229.08646846239313,229.08650091687286,67.77445,67.7164,67.8325,2,2,2135764.865944999,NA,2154762.4576624944,NA
M229T457_NEG,229.10783334198743,229.10772468514213,229.10787126226916,456.59950000000003,456.476,457.647,4,4,361339.4591126535,441057.5187953414,380369.13960416656,390005.1262661141
M229T276_NEG,229.1078040724093,229.10775103621054,229.10790477855235,275.8155,275.391,276.391,4,4,467533.38643229037,532417.3956977973,532250.8663393571,546702.21558949
M229T239_NEG,229.10784093236978,229.10773502132255,229.10787289504543,239.296,238.818,239.783,4,4,1443881.4161865225,1462302.5362167968,1422149.1138440382,1508034.8037084122
M229T511_NEG,229.10780464065905,229.10771084755862,229.1078559409546,511.479,511.368,511.549,3,3,NA,263926.6566498697,230839.73971079744,292025.8209034111
